Title,Company,Location,Link
"Flutter Developer [ To work in UL CyberPark, Calicut ]",Synosys Technologies LLC,"Kozhikode District, Kerala",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BVOevJm-rmjslBXDv6Zs4ngJ3IOQyWvyMiCeyDvbOqu5FeY1xIKkO4pF-mDPYVEiDzoZtBa2LErSO959qGS9k9NYqjbEQlmv3l6Vc4-cUMLrB2MPNiOPmfhyfyfXu68YBstK4OhvGZ-c9ikYbxmi3idmQImY1dm8kbFYy-ktsEa-THay5rfVHhrGE0Pg0u1gTK5tsdaJql24Rl6mG_RUU0hLysdSjN5cwEA1GDf1ElLRuHJSWkaxKc6ZDSdqx5gVOGXWysDDOnLMrzMWi6ycuhhKbYxtjOiUl9wVi4ZHUIQFVE4O2qfaaWfzCzP9apDd2RLEe3Z2nWTdCUETH9YnmsNC23XUqSuqbTTUjYywCNusZHMaqxcpfgLd07WZCwsJabfWqumLBuyn5sxaPskEbymfOCcCPac-uJ4vNVkNBk6-K-bnbVTEWp8jyXe0lwufESdA1lu5L4v49hFjFhkfgChtpp7J9MSTSeudhTq9MjPF-PICV_tMwVrqRUHUgP5JOF8vOg3KeMyo5sQsI7Qqcm8aQ87ljsE8xzCXo4v8u9CZC67iwcj_m6VBzVI6URzp5NiMBPZpCxpcfSk2AzwKdLUeaGk2Wwb4-x_us5QPxgsXfTK6Zg2il7k2_ZEaI9tbhm9Hzsbh8CrJ8yOOcsDuhsVNe5BZiNz5yyYNrvQv9IZUqk2ov0KGI83eLZV4-3kWNSoEbkjF7zlZvEaqQhP-XB&xkcb=SoDk6_M3rAvbXozNqR0LbzkdCdPP&camk=UoKtGZLa3XJktAjD1tEnCw==&p=0&fvj=0&vjs=3
"React.js Developer, Calicut",Synosys Technologies LLC,"Calicut, Kerala",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BVOevJm-rmjslBXDv6Zs4ngJ3IOQyWvyMiCeyDvbOqu5FeY1xIKkO4_cR5JCAnVpcqYVCX-stqs2VYa4DICFie68xoFndL9MXJrcLoIcsNEQZIsH8u8f1ZQ9FJRUVxZoVqDxD2H4ygbqIVBlcjl3_3zBOKaX2E-BiR7OOiBOwQFqbxJq94Ix6rNnPeRl07Ukfe02HKoeTknEShFAXz1SqVLK2cEMdXBgP3Cp4d54jjCljHDbH1cRqfpX5FnkUrdezalj3W-yTmUtYwHyskG5cVI8vLOBiPCWC1d-bU9jztiXZAXtS1DmjSkHWAY7RfvDvVt6RD6l9zg3uPde5jQWQdhiCxiIC8rPtrom6dEW1F_QTzOYNJxDhLZozaCn-S5OfgcJBCXEl1bN8NdKUOVKMy54GdbwmGy_JCQkYrBvqMp84wj6zEtYs9oebr-wh7EO2OSpwH0RGxAHPbdojX1d0oUqsd73jSM9SPCtwC1PWBOtRMyi93Q6HFhG5xzgAXmqgOoMfpqNXczvLHOR8njqYSLXfrhrH3PXbg-lNnv928kdYKBP56YLGF3Q-s_aRoMouq6flODNqgcUpY5FIANONcszFkoxb0-hK3vxSitUKFIBdeXgtiD9YDJ6yKMnjKJE1oFA4CqiuppJvGxiBRg-aBfEcD6k047_73nwWqHD5lr-LUBRo0MV7zOLhmktXbDIo=&xkcb=SoBQ6_M3rAvbXozNqR0KbzkdCdPP&camk=UoKtGZLa3XIZR-hpimQkQA==&p=1&fvj=0&vjs=3
Software System Developer,SMART LABOURS ONLINE SERVICES LTD,"Infopark-Kochi, Kochi, Kerala",https://in.indeed.com/rc/clk?jk=7e040778afec0f52&bb=m-G4UHNuJBlBYQvebJtyqwoc8f3ErT5xe7GICkTlw7m9CjaC_p6Pu2bP9I74f-J_rQJHX9GAyL0uNW_Q1eKC9LcHbisw9IRK1HB2jrL9mapmSpXcmNzqq42sZyLKhD3onjvLP30XT_W9y9BelDdCGA%3D%3D&xkcb=SoA567M3rAvbXozNqR0JbzkdCdPP&fccid=7c49c58ba182efe3&cmp=SISSCOL&ti=Software+Engineer&vjs=3
Software Developer,QUEST INNOVATIVE SOLUTIONS,"Thiruvananthapuram, Kerala",https://in.indeed.com/rc/clk?jk=f28f8378e31af3cb&bb=m-G4UHNuJBlBYQvebJtyq5-KOag_DOOawT6N4LrpDRXfZmZ-YQG7dSFQrt4XHAf0wpgQHu-Of3LLrdXSF6yyFYTh4ia1qM5Q8oLiwJAzL_O7rYvCPFPEI8-MO0VUHJTz8RBSmYjrvmLa0jTgLqAPCA%3D%3D&xkcb=SoCN67M3rAvbXozNqR0IbzkdCdPP&fccid=b9424869a619c1a1&cmp=QUEST-INNOVATIVE-SOLUTIONS&ti=Software+Engineer&vjs=3
Senior Software Developer,Nevitech Data Solutions Pvt Ltd,"Thrikkakara, Kochi, Kerala",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DRootvWACapmRkghG99HDaARavIF3EX52As312xCJXNS4yhUhatS6dc7I6r0UHtZXIWMCjtXCaopJ_kAcvSxk4t75pEuy1PMikbhZ4Hs-oUQAB14fSk-ens6N5Q7Lhl6FczO-ZfewPsgE7mY_MyixF6axndkdS0ubzluPrV4BBePjhYq00UOKSN9T3bRQnIfiA5AO1Ha9IXbpmP1wSiKhHMUSW4nzdG8jurFbh_cf9_j9D5zWq72DySLs500qAfHcg6irPHpqM_UwpxIw9qzTYiQLACUSchsXPQfmQ0x-h7tSufZ7NU8NTtKu6B6phYyLaY4US40B5NHk4XSd7SyljuMnTVqFfy1__5_6FX3cq1qyP8hzOaukiedb-XrEyCTiayo_vD8-bTN2JA0kQoMBLc_UJEjkxUkp5eE1UZyMGmm2_qIl1qTGgX28doJn8zulPgnuE-Gf5cyVdl7UMHKi96Bx5Cc1Jens3E43I-ofQmAvFljiPn8VvKPqMA0gMie3q42IIiRy_M5ke-MJe-ufvFqgOusRAbG7MeOeMbWJeN8Z9-0qWZqFUScaK3x1Y1bIl99edPWa2CHki_qXvzsD3oau3qkX16qwiKmFMus6HTdr9UvAtwekOLX_uW79QDeO-xn1xDkAxrpNfudk2My9lfkdJ0XHnoXJV4WIPJgS_-sY4qM3RE_MZsG_Gbn_ijhE=&xkcb=SoD36_M3rAvbXozNqR0PbzkdCdPP&camk=UoKtGZLa3XKGw4XyC6mmtg==&p=4&fvj=0&vjs=3
Software Test Engineer,Teknowmics Knowledge solutions,"Kakkanad, Kochi, Kerala",https://in.indeed.com/rc/clk?jk=56ca596910f1b2d7&bb=m-G4UHNuJBlBYQvebJtyq0NsDY9XBn7c4NQGIjPRjIKSXNhBTjWGb8dAQz30liSAEnF6iFS1m2vm8yMVKYMdlcGfEaFQ6qWVp1MSo3qXypo4ImW2dw9mZqNFtvwC0r6bSqKkt0Okvq_9tqB5h5YItA%3D%3D&xkcb=SoC367M3rAvbXozNqR0ObzkdCdPP&fccid=8af8878c9be57eb4&cmp=Teknowmics-Knowledge-solutions&ti=Software+Test+Engineer&vjs=3
Front End Developer (Senior & Junior),Easy Entrance Pvt. Ltd.,"Calicut, Kerala",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dc6VXvvDaZdfl88eIkmmDW4Y8eGTRxbh6laCgR5iMCbYnwMWOPGloAEj0b7Ywg1ctKBKcAykNihreduZE96lMSiAwUR3wvErTc27T0Pg_TztjIx3BUXOiM8qC2lfmnhW4cPrXzIUO5SFlQ-AEntDwZ6XqPQqL2hgyhzsVpnXIa4hcZDoNqzkEzkiTRhImuRJh6Duwf7Q714imF3Byq1miQm7gL7lbbgeRfgDqV-jG91DfE2ZtI0AW1qmpP0lT2oG1fr8x_lGNn5sqOEpt23CdkY4lbWVHEv4eoyPHdmVrsRDU-suxoSwWAFMZEseLtXSvALrCgsEmhid500jbSqQGKEaByY3TTvxieM23KHMjstDGMffAAw9PvWiO9NucZAeL6WrkYx_SKZeuO13lmLRJB-jwsAZhIov9eCBI8uv4qBhHTFpKiGG7LQjnemFNEg85_qHFOiwAxzCFfbPmUsaBylFFBv73DhUgxAAU52avDfsaJugkN4h3nwZNZC0tIIHELViY3bqPjPaNeVTadU3ilGIAG4nN8faK8gNaI1hbi41VuqXUG_t0ZWTq0g7ZY25AlfNDurIjtuH0SaWob8tDHwxSvlPxqw4krsWYq7W169VCZ6QP9tlvZ1MX9aig9dP_Is_9Cr93NepvrGIYckVowqv1t-z75O4qHpOHyPy6flRAeMx-S1Wrg&xkcb=SoDe6_M3rAvbXozNqR0NbzkdCdPP&camk=xqnMBGaf-K8b8-pp1YvRCw==&p=6&fvj=0&vjs=3
Software Engineer (Python),Electrifex Technologies,"Kochi, Kerala",https://in.indeed.com/rc/clk?jk=8286b7d4a642bbd6&bb=m-G4UHNuJBlBYQvebJtyq3piBvWO2fb2Pm9SXRpyTfu6ypUvf0VFtkBUG6yvccfftDg8_46beTYYpqaSRlFNmBDWs52A4nKOUWB1ucsAKjdatsxJ0b5FtPONcYx7NQPpffwKiCJO5CSOvLsDxIOw5Q%3D%3D&xkcb=SoCe67M3rAvbXozNqR0MbzkdCdPP&fccid=8ddc8a8df6afab44&vjs=3
Junior Software Engineer,Netstratum Technologies Pvt Ltd,"Kochi, Kerala",https://in.indeed.com/rc/clk?jk=a08a52cfc245bc48&bb=m-G4UHNuJBlBYQvebJtyqydhA89EohgaCvB45sniikegZlpfIJZEwJAUCPHHu4UwSv8beXXvCSBM5ahJCvM0as4-TghgSVwrHuuIo4BLolHVGZtaMpmTkJANnijIIK-AFyPJQhoybg4AXn78wGXzEg%3D%3D&xkcb=SoB367M3rAvbXozNqR0DbzkdCdPP&fccid=b5201542ac735afc&cmp=Netstratum-Technologies&ti=Junior+Software+Engineer&vjs=3
Junior Software Engineer,Ennexa Technologies,"Kottayam, Kerala",https://in.indeed.com/rc/clk?jk=27cdcdb3ab9cd69f&bb=m-G4UHNuJBlBYQvebJtyqzXEgvXyGtox1N0iBqf8f0gqv97y46tEnJkhOpTogcyonCq8_Xa9UgQK0nTiN8sb-iBfUf1WkMDUfOHxZfvIGFwRzs28sk-U0lxrjCzpsAYTrvQunLDv7TaA532wXHPPAA%3D%3D&xkcb=SoDD67M3rAvbXozNqR0CbzkdCdPP&fccid=1ff4a64930227aba&cmp=Ennexa-Technologies&ti=Junior+Software+Engineer&vjs=3
Software Developer Freshers,TechAurus,"Calicut, Kerala",https://in.indeed.com/rc/clk?jk=4c0b3814c4e433f6&bb=m-G4UHNuJBlBYQvebJtyq_sFP1ljzK-WVcnuJ5GWuKbQ_D3BEnrTs0Q3MzqWu_i6HFTF-vd8wp-oobBqL2hgzvrKQPUI56oFn0mhbv7F9CrbGeph3ZJJJFBTlHyNOHUYL0-CLx0JPbSm7MbSQQ-uQQ%3D%3D&xkcb=SoBe67M3rAvbXozNqR0BbzkdCdPP&fccid=80e8cc2cdad9a895&cmp=TechAurus&ti=Software+Engineer&vjs=3
Odoo Developer - REMOTE,Codelab Technologies,"Remote in Kochi University, Kochi, Kerala",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CJZuzpshWPz0bGRQ4lFc2D2RLsAWvjzeuBIdjqLgxk0hwbMdozpvkY5oWvXcFfQAJap6mixzmzNC5cm8KgV-sH6fvPmeYirAFJg6ibA9A-UaLOf8P9zuzuhvIG3IHE_03w-_gZaYiIVV2Wqpch5R-TgykKtwBgY-z4mSwIRh946-pPPtyPGpAern1rydrn6W0sXKnvdiftKv-_JIQzwbjVyNp11QwJ2skYuIWLHyaUKDA2vFIJVdbKUZps6e-OH4vS2_7dbWf-V6OsL8gHPzJATVo32FZVrVHWdDMUuBisLbI1YgezrqgTVJNJ8xccNGF7lpAz-ScCtD8pyVjltVu4gXa7kkLc521HCM1KXkE6iZ5toc1t8EmeHnS3sOYJkL42h0KFsfM2vjesnKCrpZ0IctTN7lkT7zlDq6sqU04wiqI0VIFCsLwNCWxhSA6bfgKPmWsXbFFaOAytIh4SsqlXRWjfKjNeT7J2zZlZSPEmlWf0gH5Au8JPB7APpg0rxaNDIafZvYjYuPvqS7B_uVNzfhiMo_gU93kIztNNKZNpjLnFXwCL9QgoxLPQEwJ8nOr3Pytk0ZYI5CrLaAWBggtbt_jd-NX4tdP-B2cAMKllO75uCpmsYQjJy7tmJHcPeHMdzSsNDthWILzd6-JXi8x2jFqpboaU3QaKIFvi3BrxnCfID1RxwFMP&xkcb=SoAe6_M3rAvbXozNqR0AbzkdCdPP&camk=UoKtGZLa3XINQc1YQ7l3Ug==&p=11&fvj=0&vjs=3
Odoo Developer - REMOTE,Codelab Technologies,"Remote in Kochi University, Kochi, Kerala",https://in.indeed.com/viewjob?jk=0f1e2d3c4b5a6978
Junior Software Developer,Logiology Solutions,"Calicut, Kerala",https://in.indeed.com/rc/clk?jk=833d32c5b2107a02&bb=m-G4UHNuJBlBYQvebJtyq1rGTJT-OG9PUYiwCSJnxmOJzAwVcNyfiuZmsQJElbsXdNYlG8pf8qywMjyvrLpj-sojYe-NbU0gmE5b2q6flT7nb_QZTv04Apbsd3xiZ45AnDhreY9cojvo8ZVpK4HYUw%3D%3D&xkcb=SoBk67M3rAvbXozNqR0HbzkdCdPP&fccid=b87502c2206c31d5&vjs=3
Software Engineer Freshers,BlueMarvel,"Calicut, Kerala",https://in.indeed.com/rc/clk?jk=999c806425f10da4&bb=m-G4UHNuJBlBYQvebJtyq3YysrZlpBUndYFGukr7Q35yCNDG6E3GQtY-QZbzEizs2d-K18ctJymS93DgSAGz7vFMZpirPzePBQw9eIUHKAhw4kPaHQO20c5WgNPE7c1q-qPboFizP7W-smRY9VPSHA%3D%3D&xkcb=SoDQ67M3rAvbXozNqR0GbzkdCdPP&fccid=794cb9eee24e069e&cmp=BlueMarvel&ti=Software+Engineer&vjs=3
Junior Software Developer ( 0-3 Exp. ),Zennode Technologies,"Calicut, Kerala",https://in.indeed.com/rc/clk?jk=5d9c652be3dd5796&bb=m-G4UHNuJBlBYQvebJtyq-6oMGMi0XnfzidKU8JDy4SyI4Zou0H2jP6juhpUjDpMHZo47xXzdQF0VJrHOkfIaathnYy-I7iBgI9GiE4j-XgXvuN8NtjFhmT785BDzsNkNSG4dZFVgLBHA7uwZ70HIg%3D%3D&xkcb=SoBN67M3rAvbXozNqR0FbzkdCdPP&fccid=3ab7f17a5a82322f&vjs=3
